hash|author|date|comment
5d52262f|Evan You|Wed Jan 9 15:35:57 2019 -0500|feat(core): expose all slots on $scopedSlots as functions
cf42f8e8|vue-bot|Wed Jan 9 12:52:30 2019 -0500|chore: update sponsors [ci skip] (#9296)
7988a554|Evan You|Mon Jan 7 22:26:44 2019 -0500|feat: support scoped-slot usage with $slot
91327300|Evan You|Mon Jan 7 18:22:22 2019 -0500|refactor(codegen): simplify conditions
583dd011|Evan You|Mon Jan 7 16:47:18 2019 -0500|refactor(parser): move element self processing to after children
d278da20|Evan You|Mon Jan 7 12:15:15 2019 -0500|test: fix LRU upgrade
bbfeb039|Evan You|Mon Jan 7 10:58:29 2019 -0500|build: bump dev deps
ab2b1f16|Evan You|Fri Jan 4 14:54:44 2019 -0500|chore: update sponsors
75a2b4cd|Evan You|Fri Jan 4 14:54:44 2019 -0500|chore: update sponsors
05fbc360|Evan You|Thu Jan 3 10:18:47 2019 -0500|chore: update backers
c117e8f2|Evan You|Thu Jan 3 10:18:47 2019 -0500|chore: update backers
ce35159d|Evan You|Wed Dec 26 17:22:32 2018 -0500|chore: fix types
c7c13c2a|Evan You|Wed Dec 26 17:17:30 2018 -0500|fix(scoped-slots): ensure $scopedSlots calls always return Arrays
d747469e|Evan You|Wed Dec 26 16:02:50 2018 -0500|test: test case for v-for native collection support
7a929042|Evan You|Wed Dec 26 15:48:19 2018 -0500|build: fix chrome headless on CI
85d8ad64|Evan You|Wed Dec 26 15:38:52 2018 -0500|build: use headless chrome by default for unit tests
d40eb9c2|Jeremy Dubois|Wed Dec 26 21:38:19 2018 +0100|feat(v-for): support iterables in v-for (#8179)
e1abedb9|Evan You|Wed Dec 26 14:12:34 2018 -0500|feat(compiler): add whitespace option, deprecate preserveWhitespace option
9c718522|Pak Youngrok|Thu Dec 27 00:02:54 2018 +0900|feat(compiler/watch): allow unicode characters in component names and watch paths (#8666)
325fc769|Evan You|Fri Dec 21 23:55:48 2018 -0500|feat(compiler): output codeframe in browser compiler
3883f1f6|Evan You|Fri Dec 21 22:23:11 2018 -0500|chore: update deps
b31a1aa8|Jason|Sat Dec 22 10:58:32 2018 +0800|feat(compiler): output source range for compiler errors (#7127)
d08b49f5|Evan You|Fri Dec 21 14:46:18 2018 -0500|fix: make transition-group key warning a tip to avoid breaking compilation
1c105fb1|Evan You|Fri Dec 21 14:29:57 2018 -0500|test: fix test case for #8297
3fca5279|Divya|Fri Dec 21 12:34:17 2018 -0600|feat: v-bind.sync also listens for kebab-case update event (#8297)
0e4e45ec|Mathieu TUDISCO|Fri Dec 21 19:13:48 2018 +0100|feat: support custom toString() in text interpolation and v-html (#8217)
1933ee80|Hiroki Osame|Fri Dec 21 09:49:21 2018 -0800|fix(provide/inject): Merges symbol provides (#7926)
5ab028a9|Evan You|Fri Dec 21 12:26:24 2018 -0500|refactor: speed up injection resolution
bf0efb02|Zhenfei You|Sat Dec 22 00:59:34 2018 +0800|feat(compiler): support deindent: false in vue-template-compiler (#7215)
a981c80d|GU Yiling|Fri Dec 21 06:07:34 2018 +0800|feat: support v-html for SVG elements (#8652)
22ad2661|Alejandro Maguey|Thu Dec 20 16:05:05 2018 -0600|fix(runtime): DevTools recommendation shows for all browsers (#8638)
44940121|Evan You|Thu Dec 20 16:08:58 2018 -0500|feat(ssr): add custom state serializer option
7ebabe23|Evan You|Thu Dec 20 15:54:35 2018 -0500|test: test for #8790
ab242854|Evan You|Thu Dec 20 15:47:15 2018 -0500|feat(ssr): allow opting-out of caching by returning false in serverCacheKey
d7a533d6|Guillaume Chau|Thu Dec 20 21:26:12 2018 +0100|feat(ssr): ssrPrefetch option + context.rendered hook (#9017)
f036cce1|Hyunje Jun|Fri Dec 21 05:15:04 2018 +0900|feat(ssr): Add 'nonce' option to context for ssr outlet script (#8047)
9432737c|Evan You|Thu Dec 20 12:20:09 2018 -0500|fix: cover more cases in v-on inline return value
0ebb0f39|Evan You|Thu Dec 20 11:32:06 2018 -0500|fix: return inline invocation return value in v-on handlers
b00868c5|Evan You|Thu Dec 20 10:26:56 2018 -0500|refactor: extract async error handling logic
