hash|author|date|comment
a1fc4deff|Paul Gschwendtner|Mon Jun 17 19:43:38 2019 +0200|fix(bazel): builder workspace should use nodejs v10.16.0 (#31088)
e0969b248|Paul Gschwendtner|Mon Jun 17 19:17:19 2019 +0200|ci: update nodejs version to v10.16.0 (#31088)
c596795e6|George Kalpakas|Fri Jun 14 13:01:37 2019 +0300|ci(docs-infra): check and track payload sizes for `test_aio_local` and `test_aio_local_ivy` (#31047)
a6cb20cbe|George Kalpakas|Fri Jun 14 00:25:35 2019 +0300|ci(docs-infra): run PWA score tests after unit/e2e tests (#31047)
6fbfb5a15|JoostK|Fri May 31 22:56:25 2019 +0200|feat(ivy): ngcc - recognize static properties on the outer symbol in ES5 (#30795)
16aa6ceff|Ben Lesh|Fri May 31 14:41:07 2019 -0700|refactor(ivy): update ɵɵtextBinding to not take index (#30792)
b5aa0473f|Kapunahele Wong|Mon Sep 10 16:30:24 2018 -0400|docs: rewrite attribute binding section and add example (#26004)
e76690be2|Kapunahele Wong|Fri Jun 14 14:19:53 2019 -0400|docs: edit codeowners for new Template Syntax examples (#31060)
6c4d91297|Kapunahele Wong|Tue Jan 8 15:58:23 2019 -0500|docs: edit and add example for Template Expression Operators section of Template Syntax (#28087)
f41242f18|Kapunahele Wong|Mon Dec 3 13:42:53 2018 -0500|docs: rewrite inputs/outputs section of Template Syntax (#27685)
e2fd62861|Kapunahele Wong|Thu Nov 29 12:49:29 2018 -0500|docs: edit template ref vars copy and example (#27371)
2c2135d33|Kapunahele Wong|Tue Oct 9 14:32:58 2018 -0400|docs: rewrite built-in directives section (#27273)
7e3a60ad3|Kapunahele Wong|Wed Oct 3 15:49:05 2018 -0400|docs: add example and edit two-way-binding section of Template Syntax (#26278)
85d38ae56|Kapunahele Wong|Tue Aug 28 12:46:59 2018 -0400|docs: rewrite property binding section and add example (#25770)
4ad323a4d|Ayaz Hafiz|Mon Jun 10 09:19:35 2019 -0700|feat(ivy): setup boilerplate for component indexing API (#30961)
a4601eca6|Keen Yee Liau|Tue Jun 11 16:39:57 2019 -0700|fix(language-service): Remove 'any' in getQuickInfoAtPosition (#31014)
e84b51d2b|Pawel Kozlowski|Wed Jun 12 18:10:25 2019 +0200|refactor(ivy): remove LView argument from locateDirectiveOrProvider (#31006)
8f5c396a7|crisbeto|Thu Jun 13 17:41:45 2019 +0200|fix(ivy): don't throw when attempting to destroy a destroyed ComponentRef (#31022)
0c3bb6a73|Pete Bacon Darwin|Thu Jun 13 12:20:02 2019 +0100|fix(ivy): ngcc - capture entry-points in top-level path-mapped folders (#31027)
cc0bd11a5|George Kalpakas|Fri Jun 14 00:41:04 2019 +0300|build(docs-infra): update `browserlist` configuration file (#31045)
5d24a75ac|George Kalpakas|Fri Jun 14 12:45:42 2019 +0300|docs: minor fix in `get-commit-range.js` docs (#31049)
799d1fd33|Wassim Chegham|Mon Jun 10 21:00:55 2019 +0200|docs(aio): add missing description to dev.to link (#30960)
6bc9c78d7|cexbrayat|Wed May 29 09:10:44 2019 +0200|fix(core): temporarily remove @deprecated jsdoc tag for a TextBedStatic.get overload (#30714)
bb4e230ea|Kapunahele Wong|Mon Jul 9 17:55:18 2018 -0400|docs: rewrite binding-syntax section in template-syntax.md (#25561)
48d11d5fa|George Kalpakas|Fri Jun 14 18:48:16 2019 +0300|ci: temporarily disable payload size tracking (#31057)
1a5c7112e|Kapunahele Wong|Wed Jun 12 13:37:15 2019 -0400|docs: fix broken link in singleton services doc (#31007)
352f9672c|Kapunahele Wong|Tue Jun 11 13:51:34 2019 -0400|docs: add no-auto-link instructions to docs style guide (#30980)
76584804c|Will 保哥|Wed May 29 21:01:33 2019 +0800|docs: add angular.tw (Traditional Chinese) site to navigation.json (#30723)
2c78da00a|Andrew Kushnir|Thu Jun 13 15:47:23 2019 -0700|release: cut the v8.1.0-next.2 release
